trial,timestamp,x,y
5,1707430043422.9258,66,29
5,1707430043429.9277,66,29
5,1707430043445.9272,66,29
5,1707430043468.9275,66,29
5,1707430043492.4675,66,29
5,1707430043508.579,66,29
5,1707430043524.054,66,29
5,1707430043540.0815,66,29
5,1707430043557.0828,66,29
5,1707430043573.1,66,29
5,1707430043588.4622,66,29
5,1707430043603.4536,66,29
5,1707430043619.1382,66,29
5,1707430043635.2139,66,29
5,1707430043651.224,66,29
5,1707430043667.2087,66,29
5,1707430043683.2205,66,29
5,1707430043699.1587,66,29
5,1707430043715.2273,66,29
5,1707430043731.2136,66,29
5,1707430043745.5618,66,29
5,1707430043763.1174,66,29
5,1707430043776.7993,48,29
5,1707430043792.2087,27,25
5,1707430043808.0146,8,18
5,1707430043823.8318,0,11
5,1707430043839.1086,0,6
5,1707430043854.481,0,1
5,1707430043869.6218,0,0
5,1707430043885.7893,0,0
5,1707430043902.9597,0,0
5,1707430043917.9785,0,0
5,1707430043933.1506,0,0
5,1707430043949.1555,0,0
5,1707430043965.161,0,0
5,1707430043980.2773,0,0
5,1707430043995.8965,0,0
5,1707430044011.9675,0,0
5,1707430044027.9685,0,0
5,1707430044043.935,0,0
5,1707430044059.6118,0,0
5,1707430044075.5544,0,0
5,1707430044091.3489,0,0
5,1707430044106.9824,0,0
5,1707430044122.2178,4,0
5,1707430044137.736,30,0
5,1707430044153.462,122,0
5,1707430044169.186,185,0
5,1707430044185.0303,211,0
5,1707430044200.1838,235,0
5,1707430044216.2952,275,0
5,1707430044232.2434,351,0
5,1707430044248.2424,455,0
5,1707430044264.5576,550,0
5,1707430044279.8354,635,0
5,1707430044295.7932,725,0
5,1707430044311.0923,844,0
5,1707430044326.5771,963,0
5,1707430044342.3606,1016,0
5,1707430044357.531,1080,0
5,1707430044373.3687,1114,0
5,1707430044388.9731,1138,0
5,1707430044404.9717,1149,0
5,1707430044420.4998,1149,0
5,1707430044436.4136,1149,0
5,1707430044451.5757,1134,1
5,1707430044466.636,1096,3
5,1707430044481.8472,1028,0
5,1707430044497.289,934,0
5,1707430044513.165,807,0
5,1707430044529.2715,670,0
5,1707430044545.0645,545,0
5,1707430044561.7085,449,0
5,1707430044576.673,406,0
5,1707430044592.4944,396,0
5,1707430044607.6453,394,4
5,1707430044622.8796,402,23
5,1707430044638.8965,413,60
5,1707430044653.6716,454,93
5,1707430044670.727,522,167
5,1707430044695.2717,710,335
5,1707430044700.6682,710,335
5,1707430044715.829,811,397
5,1707430044731.2107,913,446
5,1707430044747.1904,1017,486
5,1707430044761.614,1103,513
5,1707430044776.7966,1188,535
5,1707430044791.9248,1271,551
5,1707430044807.9465,1324,557
5,1707430044823.5457,1356,560
5,1707430044839.35,1366,560
5,1707430044854.5747,1368,560
5,1707430044872.0244,1368,560
5,1707430044887.0073,1368,560
5,1707430044902.4336,1368,560
5,1707430044918.4822,1368,560
5,1707430044934.0898,1368,560
5,1707430044949.986,1368,560
5,1707430044964.0757,1380,582
5,1707430044979.8154,1403,617
5,1707430044996.6624,1452,670
5,1707430045011.661,1531,728
5,1707430045027.7615,1626,782
5,1707430045042.6528,1689,807
5,1707430045058.7615,1698,808
5,1707430045075.7244,1699,798
5,1707430045090.786,1694,771
5,1707430045106.4343,1683,738
5,1707430045122.3042,1676,712
5,1707430045138.5422,1675,702
5,1707430045154.2307,1685,693
5,1707430045168.9612,1691,690
5,1707430045184.0906,1704,690
5,1707430045200.2983,1751,690
5,1707430045215.2915,1810,688
5,1707430045230.4753,1839,688
5,1707430045247.1255,1897,688
5,1707430045262.1433,1908,688
5,1707430045277.491,1913,686
5,1707430045292.703,1914,685
5,1707430045307.933,1914,683
5,1707430045323.075,1915,669
5,1707430045339.171,1915,655
5,1707430045354.32,1912,640
5,1707430045370.2422,1907,622
5,1707430045386.0662,1900,607
5,1707430045401.5198,1896,584
5,1707430045417.4736,1897,560
5,1707430045433.3052,1904,514
5,1707430045449.1445,1918,472
5,1707430045465.1094,1940,423
5,1707430045480.7786,1978,379
5,1707430045495.6904,2028,341
5,1707430045511.998,2056,321
5,1707430045527.2307,2065,312
5,1707430045542.0342,2066,311
5,1707430045558.2542,2066,311
5,1707430045574.0894,2066,311
5,1707430045589.7273,2054,312
5,1707430045604.3892,2046,315
5,1707430045619.7615,2042,317
5,1707430045634.9485,2036,321
5,1707430045650.1682,2031,328
5,1707430045666.264,2023,336
5,1707430045682.0918,2019,342
5,1707430045697.6978,2017,345
5,1707430045713.5928,2015,346
5,1707430045730.0686,2013,348
5,1707430045745.2358,2012,349
5,1707430045760.1597,2011,350
5,1707430045776.0203,2010,351
5,1707430045791.6265,2009,351
5,1707430045806.7698,2009,352
5,1707430045823.3184,2008,352
5,1707430045837.7495,2007,353
5,1707430045853.9497,2004,355
5,1707430045870.1777,2001,357
5,1707430045885.17,2001,358
5,1707430045901.8062,2001,358
5,1707430045916.4478,1997,362
5,1707430045933.3845,1996,365
5,1707430045947.7756,1993,369
5,1707430045964.01,1992,371
5,1707430045978.5261,1991,374
5,1707430045995.6372,1990,376
5,1707430046011.6367,1989,379
5,1707430046026.7332,1988,382
5,1707430046042.2656,1986,388
5,1707430046070.0225,1986,392
5,1707430046074.1257,1985,394
5,1707430046089.7979,1985,397
5,1707430046105.1917,1984,402
5,1707430046120.426,1983,410
5,1707430046136.6592,1982,421
5,1707430046151.7188,1982,428
5,1707430046165.9958,1982,431
5,1707430046182.1648,1981,435
5,1707430046198.2192,1981,441
5,1707430046214.0608,1980,443
5,1707430046228.1172,1980,447
5,1707430046245.1501,1980,451
5,1707430046260.063,1980,456
5,1707430046275.9966,1980,459
5,1707430046291.3274,1980,460
5,1707430046308.004,1980,462
5,1707430046322.6384,1980,465
5,1707430046338.645,1980,467
5,1707430046354.725,1980,470
5,1707430046370.2036,1980,474
5,1707430046385.6963,1980,479
5,1707430046402.3945,1980,483
5,1707430046417.7222,1980,486
5,1707430046432.7722,1981,488
5,1707430046447.925,1981,494
5,1707430046464.6597,1982,498
5,1707430046479.729,1983,503
5,1707430046496.5417,1984,507
5,1707430046511.5815,1985,512
5,1707430046526.3027,1985,513
5,1707430046541.9478,1985,517
5,1707430046556.997,1985,523
5,1707430046573.26,1986,532
5,1707430046590.7449,1986,540
5,1707430046604.8716,1987,545
5,1707430046620.825,1987,548
5,1707430046636.2341,1988,549
5,1707430046652.6628,1988,549
5,1707430046667.0276,1988,552
5,1707430046682.378,1988,555
5,1707430046698.5034,1988,556
5,1707430046713.6997,1988,558
5,1707430046730.8213,1988,561
5,1707430046746.3716,1988,562
5,1707430046762.085,1988,563
5,1707430046778.8442,1988,563
5,1707430046793.0857,1988,564
5,1707430046808.2517,1988,566
5,1707430046823.4873,1988,568
5,1707430046839.3564,1988,569
5,1707430046855.8223,1988,571
5,1707430046871.7212,1988,574
5,1707430046887.3606,1988,578
5,1707430046903.2524,1988,580
5,1707430046917.9954,1988,581
5,1707430046934.5469,1988,583
5,1707430046950.1584,1988,583
5,1707430046966.5132,1988,583
5,1707430046981.8015,1988,583
5,1707430046997.8618,1988,583
5,1707430047013.376,1988,584
5,1707430047030.2817,1988,584
5,1707430047044.4885,1988,586
5,1707430047062.5413,1988,586
5,1707430047076.133,1988,588
5,1707430047092.294,1988,590
5,1707430047107.6118,1988,591
5,1707430047123.3965,1988,592
5,1707430047140.3877,1988,593
5,1707430047154.5322,1988,596
5,1707430047170.5142,1988,597
5,1707430047185.6348,1988,599
5,1707430047201.2373,1988,602
5,1707430047217.3677,1988,604
5,1707430047231.9058,1988,607
5,1707430047247.3938,1988,612
5,1707430047263.0647,1988,616
5,1707430047278.295,1988,618
5,1707430047293.4668,1988,619
5,1707430047309.622,1988,620
5,1707430047325.273,1988,621
5,1707430047341.1025,1988,621
5,1707430047356.9722,1988,621
5,1707430047372.6777,1988,621
5,1707430047388.0435,1988,621
5,1707430047402.7966,1988,621
5,1707430047419.716,1988,621
5,1707430047433.822,1988,621
5,1707430047450.7937,1988,621
5,1707430047466.6506,1988,621
5,1707430047481.5908,1988,626
5,1707430047496.942,1986,643
5,1707430047512.6362,1985,654
5,1707430047528.9631,1984,665
5,1707430047543.6086,1984,671
5,1707430047559.2446,1984,674
5,1707430047574.2244,1984,675
5,1707430047589.2522,1984,676
5,1707430047604.5786,1984,679
5,1707430047620.6392,1984,682
5,1707430047635.4875,1984,684
5,1707430047652.148,1984,686
5,1707430047667.6733,1984,689
5,1707430047683.8794,1984,690
5,1707430047698.3398,1983,695
5,1707430047714.416,1983,703
5,1707430047731.0757,1983,712
5,1707430047747.0725,1984,718
5,1707430047761.9722,1986,724
5,1707430047776.876,1990,735
5,1707430047792.1184,1992,742
5,1707430047807.5662,1995,746
5,1707430047823.6365,1996,749
5,1707430047839.6658,1996,750
5,1707430047855.2236,1997,751
5,1707430047872.2427,1997,751
5,1707430047886.4548,1997,751
5,1707430047903.4375,1997,751
5,1707430047919.1174,1997,751
5,1707430047934.261,1997,751
5,1707430047950.0518,1997,751
5,1707430047965.7158,1997,751
5,1707430047981.2725,1997,751
5,1707430047997.709,1997,751
5,1707430048013.0735,1997,751
5,1707430048028.237,1998,751
5,1707430048042.4602,2001,751
5,1707430048058.125,2003,751
5,1707430048073.8848,2006,751
5,1707430048090.3567,2007,751
5,1707430048105.1575,2007,751
5,1707430048121.21,2007,751
5,1707430048137.5374,2007,751
5,1707430048153.356,2007,751
5,1707430048168.4514,2007,751
5,1707430048184.0881,2007,751
5,1707430048199.8232,2007,751
5,1707430048216.1638,2007,751
5,1707430048230.8315,2007,751
5,1707430048245.8286,2007,751
5,1707430048260.8196,2007,751
5,1707430048275.9146,2007,751
5,1707430048292.5334,2007,751
5,1707430048307.897,2007,751
5,1707430048324.4868,2007,751
5,1707430048339.9224,2007,751
5,1707430048355.2817,2007,751
5,1707430048371.1174,2007,751
5,1707430048387.0286,2007,751
5,1707430048402.6802,2007,751
5,1707430048417.0403,1990,790
5,1707430048434.0774,1950,872
5,1707430048448.3032,1895,982
5,1707430048464.0962,1822,1106
5,1707430048479.537,1749,1220
5,1707430048495.9622,1683,1317
5,1707430048509.948,1652,1363
5,1707430048526.1858,1568,1477
5,1707430048541.4097,1510,1556
5,1707430048557.5442,1486,1594
5,1707430048573.7476,1471,1627
5,1707430048590.2969,1460,1656
5,1707430048605.4192,1452,1683
5,1707430048620.5686,1449,1704
5,1707430048637.245,1449,1718
5,1707430048652.1792,1448,1734
5,1707430048667.9673,1446,1759
5,1707430048683.6934,1439,1795
5,1707430048699.1404,1425,1854
5,1707430048716.4028,1413,1909
5,1707430048731.2197,1405,1975
5,1707430048746.6184,1395,2068
5,1707430048762.7944,1379,2190
5,1707430048778.3386,1350,2345
5,1707430048794.392,1317,2513
5,1707430048810.4487,1291,2645
5,1707430048825.5007,1263,2747
5,1707430048840.6655,1245,2785
5,1707430048856.946,1224,2806
5,1707430048871.062,1191,2823
5,1707430048887.0615,1151,2840
5,1707430048902.4883,1107,2857
5,1707430048917.94,1090,2867
5,1707430048933.051,1058,2894
5,1707430048948.453,1031,2920
5,1707430048964.5908,1005,2955
5,1707430048979.682,977,3006
5,1707430048995.7083,951,3063
5,1707430049011.8577,923,3121
5,1707430049026.3418,899,3174
5,1707430049042.1619,878,3213
5,1707430049058.0913,859,3249
5,1707430049074.1455,837,3280
5,1707430049089.5154,814,3314
5,1707430049105.1265,792,3340
5,1707430049121.006,769,3370
5,1707430049152.3591,717,3413
5,1707430049167.8748,695,3423
5,1707430049183.4275,684,3425
5,1707430049198.9485,682,3425
5,1707430049214.6687,680,3419
5,1707430049231.1929,680,3395
5,1707430049246.6074,690,3346
5,1707430049262.6687,699,3313
5,1707430049279.2246,713,3260
5,1707430049292.4653,715,3253
5,1707430049308.2437,720,3245
5,1707430049324.146,725,3238
5,1707430049340.134,728,3234
5,1707430049356.018,729,3232
5,1707430049372.6526,729,3232
5,1707430049386.8547,729,3232
5,1707430049402.4797,729,3232
5,1707430049417.739,729,3232
5,1707430049433.8318,729,3232
5,1707430049448.596,729,3232
5,1707430049464.704,729,3232
5,1707430049481.6113,729,3232
5,1707430049497.7678,729,3232
5,1707430049512.9104,729,3232
5,1707430049529.2085,729,3232
5,1707430049543.4824,729,3232
5,1707430049558.7886,729,3232
5,1707430049574.0916,729,3232
5,1707430049589.29,729,3232
5,1707430049605.1887,729,3232
5,1707430049621.2422,729,3232
5,1707430049636.6333,729,3232
5,1707430049652.053,729,3232
5,1707430049667.506,729,3232
5,1707430049683.108,729,3232
5,1707430049698.3413,729,3232
5,1707430049713.5059,729,3232
5,1707430049729.5564,729,3232
5,1707430049743.8643,729,3232
5,1707430049759.741,729,3232
5,1707430049775.7622,729,3232
5,1707430049790.4312,729,3232
5,1707430049806.3777,729,3232
5,1707430049822.061,729,3232
5,1707430049836.263,729,3232
5,1707430049852.328,729,3232
5,1707430049868.3225,729,3232
5,1707430049884.3403,729,3232
5,1707430049900.7466,729,3232
5,1707430049916.359,729,3232
5,1707430049932.3828,729,3232
5,1707430049948.4438,729,3232
5,1707430049962.8967,729,3232
5,1707430049980.2124,729,3232
5,1707430049996.35,729,3232
5,1707430050009.901,727,3204
5,1707430050026.2944,722,3179
5,1707430050042.5024,717,3164
5,1707430050056.503,711,3145
5,1707430050072.0242,705,3131
5,1707430050135.5188,698,3110
5,1707430050166.8447,693,3093
5,1707430050182.4507,693,3091
5,1707430050198.1824,693,3091
5,1707430050213.537,693,3091
