trial,timestamp,x,y
1,1707433725564.8677,33,24
1,1707433725567.8662,33,24
1,1707433725584.8826,33,24
1,1707433725600.4114,33,24
1,1707433725616.4233,33,24
1,1707433725630.1782,33,24
1,1707433725646.1418,33,24
1,1707433725661.802,33,24
1,1707433725676.0232,33,24
1,1707433725691.9634,33,24
1,1707433725707.7075,33,24
1,1707433725723.8074,33,24
1,1707433725739.7986,33,24
1,1707433725755.7742,33,24
1,1707433725771.6567,33,24
1,1707433725787.7268,33,24
1,1707433725802.995,33,24
1,1707433725819.9111,33,24
1,1707433725834.913,33,24
1,1707433725850.9087,33,24
1,1707433725866.9282,33,24
1,1707433725883.7876,33,24
1,1707433725898.9883,33,24
1,1707433725914.0623,33,24
1,1707433725930.1714,33,24
1,1707433725945.6929,33,24
1,1707433725961.556,33,24
1,1707433725976.9233,33,24
1,1707433725992.7258,33,24
1,1707433726008.056,33,24
1,1707433726023.602,33,24
1,1707433726039.0369,33,24
1,1707433726055.0452,33,24
1,1707433726070.4924,33,24
1,1707433726085.8438,33,24
1,1707433726101.7256,33,24
1,1707433726117.3403,33,24
1,1707433726133.0483,33,24
1,1707433726149.4397,33,24
1,1707433726164.1711,33,24
1,1707433726180.1543,33,24
1,1707433726205.8428,33,24
1,1707433726210.6035,33,24
1,1707433726227.1152,33,24
1,1707433726243.3076,33,24
1,1707433726257.1726,33,24
1,1707433726274.3699,33,24
1,1707433726290.1116,33,24
1,1707433726305.422,33,24
1,1707433726320.6445,33,24
1,1707433726335.83,33,24
1,1707433726353.0356,33,24
1,1707433726367.3784,33,24
1,1707433726384.6323,33,24
1,1707433726399.3167,33,24
1,1707433726415.4663,33,24
1,1707433726431.487,33,24
1,1707433726445.5198,33,24
1,1707433726462.5093,33,24
1,1707433726477.7097,33,24
1,1707433726494.132,33,24
1,1707433726509.8782,33,24
1,1707433726524.8696,33,24
1,1707433726540.849,33,24
1,1707433726555.903,33,24
1,1707433726571.393,33,24
1,1707433726586.7258,33,24
1,1707433726601.8552,33,24
1,1707433726617.3633,33,24
1,1707433726633.1423,33,24
1,1707433726648.326,33,24
1,1707433726663.719,33,24
1,1707433726679.176,33,24
1,1707433726694.8281,33,24
1,1707433726710.589,33,24
1,1707433726725.7954,33,24
1,1707433726740.9539,33,24
1,1707433726757.0703,33,24
1,1707433726772.2427,33,24
1,1707433726787.572,33,24
1,1707433726802.969,33,24
1,1707433726818.6255,33,24
1,1707433726834.0303,33,24
1,1707433726849.1865,33,24
1,1707433726866.2024,33,24
1,1707433726880.596,33,24
1,1707433726896.4844,33,24
1,1707433726912.668,33,24
1,1707433726927.5352,33,24
1,1707433726943.3823,33,24
1,1707433726959.1973,33,24
1,1707433726974.9846,33,24
1,1707433726990.8342,33,24
1,1707433727006.8289,33,24
1,1707433727022.6194,33,24
1,1707433727037.892,33,24
1,1707433727053.89,33,24
1,1707433727069.6418,33,24
1,1707433727085.34,33,24
1,1707433727101.3877,33,24
1,1707433727116.75,33,24
1,1707433727132.9849,33,24
1,1707433727148.5625,33,24
1,1707433727163.4573,33,24
1,1707433727179.425,33,24
1,1707433727194.815,33,24
1,1707433727209.5654,33,24
1,1707433727224.872,33,24
1,1707433727242.0007,33,24
1,1707433727257.3289,33,24
1,1707433727272.8328,33,24
1,1707433727288.1475,33,24
1,1707433727303.6995,33,24
1,1707433727319.5303,33,24
1,1707433727335.9092,33,24
1,1707433727351.4775,33,24
1,1707433727367.6897,33,24
1,1707433727383.7534,33,24
1,1707433727399.837,33,24
1,1707433727415.7178,33,24
1,1707433727431.1516,33,24
1,1707433727446.828,33,24
1,1707433727462.077,33,24
1,1707433727478.4517,33,24
1,1707433727493.836,33,24
1,1707433727509.4563,33,24
1,1707433727524.384,33,24
1,1707433727540.4734,33,24
1,1707433727564.329,33,24
1,1707433727569.6865,33,24
1,1707433727585.0684,33,24
1,1707433727601.1853,33,24
1,1707433727616.2495,33,24
1,1707433727632.496,33,24
1,1707433727648.7563,33,24
1,1707433727664.3687,33,24
1,1707433727680.2473,33,24
1,1707433727696.3896,33,24
