Timestamp,X,Y
2024-04-02 14:15:20.400561,1683,1356
2024-04-02 14:15:20.500684,1683,1356
2024-04-02 14:15:20.602716,1683,1356
2024-04-02 14:15:20.704439,1683,1356
2024-04-02 14:15:20.805697,1683,1356
2024-04-02 14:15:20.908029,1683,1356
2024-04-02 14:15:21.010431,1683,1356
2024-04-02 14:15:21.111942,1683,1356
2024-04-02 14:15:21.213527,1683,1356
2024-04-02 14:15:21.316055,1683,1356
2024-04-02 14:15:21.418283,1658,1371
2024-04-02 14:15:21.519040,1546,1436
2024-04-02 14:15:21.620190,1504,1437
2024-04-02 14:15:21.720773,1457,1368
2024-04-02 14:15:21.824452,1253,1181
2024-04-02 14:15:21.927218,1315,961
2024-04-02 14:15:22.039707,1537,838
2024-04-02 14:15:22.143079,1647,873
2024-04-02 14:15:22.246011,1700,902
2024-04-02 14:15:22.348383,1776,940
2024-04-02 14:15:22.451011,1779,941
2024-04-02 14:15:22.554106,1818,954
2024-04-02 14:15:22.654614,1819,954
2024-04-02 14:15:22.756374,1819,954
2024-04-02 14:15:22.859537,1819,954
2024-04-02 14:15:22.961486,2570,1085
2024-04-02 14:15:23.063517,3487,1380
2024-04-02 14:15:23.165236,3529,1240
2024-04-02 14:15:23.266819,2916,823
2024-04-02 14:15:23.367918,2231,948
2024-04-02 14:15:23.471211,2003,1204
2024-04-02 14:15:23.576691,1796,1242
2024-04-02 14:15:23.679554,1777,1147
2024-04-02 14:15:23.782155,1895,1004
2024-04-02 14:15:23.884156,1942,977
2024-04-02 14:15:23.986306,1982,979
2024-04-02 14:15:24.088360,2304,992
2024-04-02 14:15:24.191388,2328,986
2024-04-02 14:15:24.294491,2328,986
2024-04-02 14:15:24.397414,2328,986
2024-04-02 14:15:24.499244,2328,986
