trial,timestamp,x,y
5,1707243333369.156,33,24
5,1707243333383.9712,33,24
5,1707243333400.0884,33,24
5,1707243333416.158,33,24
5,1707243333431.7288,33,24
5,1707243333447.2395,33,24
5,1707243333463.2417,33,24
5,1707243333479.3098,33,24
5,1707243333495.1785,33,24
5,1707243333510.577,33,24
5,1707243333526.6328,33,24
5,1707243333542.6565,33,24
5,1707243333558.8179,33,24
5,1707243333574.3948,33,24
5,1707243333590.2605,33,24
5,1707243333605.5986,33,24
5,1707243333620.7534,33,24
5,1707243333635.017,33,24
5,1707243333651.355,33,24
5,1707243333666.3728,33,24
5,1707243333681.9048,33,24
5,1707243333697.9033,33,24
5,1707243333713.3896,33,24
5,1707243333729.8625,33,24
5,1707243333744.922,33,24
5,1707243333760.655,33,24
5,1707243333777.5251,33,25
5,1707243333792.286,29,25
5,1707243333808.0376,25,21
5,1707243333824.2654,4,0
5,1707243333840.061,0,0
5,1707243333855.9722,0,0
5,1707243333871.3284,0,0
5,1707243333886.552,0,0
5,1707243333902.5698,242,-202
5,1707243333918.563,284,-442
5,1707243333933.5686,329,-624
5,1707243333949.386,381,-765
5,1707243333964.773,488,-945
5,1707243333979.9062,488,-945
5,1707243333995.9001,488,-945
5,1707243334011.9817,488,-945
5,1707243334027.0747,488,-945
5,1707243334043.1177,488,-945
5,1707243334058.5527,488,-945
5,1707243334074.4065,488,-945
5,1707243334089.5898,488,-945
5,1707243334105.5144,488,-945
5,1707243334120.8381,488,-945
5,1707243334136.996,488,-945
5,1707243334153.0725,488,-945
5,1707243334168.33,488,-945
5,1707243334184.319,488,-945
5,1707243334199.5012,488,-945
5,1707243334214.669,488,-945
5,1707243334230.623,488,-945
5,1707243334245.437,488,-945
5,1707243334262.0134,567,-993
5,1707243334277.0117,605,-1008
5,1707243334292.9866,632,-1017
5,1707243334308.9001,668,-1027
5,1707243334324.5767,690,-1036
5,1707243334340.0564,716,-1045
5,1707243334356.5667,753,-1065
5,1707243334371.2808,773,-1074
5,1707243334387.0195,785,-1078
5,1707243334403.035,791,-1080
5,1707243334418.9133,794,-1081
5,1707243334434.1758,795,-1081
5,1707243334449.383,797,-1083
5,1707243334464.6567,798,-1083
5,1707243334479.7144,798,-1084
5,1707243334495.7727,798,-1086
5,1707243334511.9175,798,-1087
5,1707243334527.2847,798,-1096
5,1707243334543.1418,797,-1116
5,1707243334558.1746,798,-1162
5,1707243334574.0,822,-1263
5,1707243334589.136,902,-1428
5,1707243334604.527,969,-1555
5,1707243334619.9448,969,-1555
5,1707243334635.1912,969,-1555
5,1707243334650.6272,969,-1555
5,1707243334666.4028,969,-1555
5,1707243334682.2456,969,-1555
5,1707243334698.2449,969,-1555
5,1707243334712.928,969,-1555
5,1707243334728.2903,969,-1555
5,1707243334744.8027,969,-1555
5,1707243334759.3794,969,-1555
5,1707243334775.4956,969,-1555
